chinese_name,english_name,monster_id,source,size,swarm,swarm_size,type,sub_type,alignment,ac,hp,speed,initiative,strength,dexterity,constitution,intelligence,wisdom,charisma,skills,damage_vulnerabilities,damage_resistances,damage_immunities,equipment,senses,languages,challenge_rating,proficiencies,sections
半巫妖,Demilich,MM25_Prof6_CR18_demilich,MM25,['微型'],False,,亡灵,,中立邪恶,20,180（72d4）,5尺，飞行30尺（悬浮）,+17（27）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '20', 'mod': '+5', 'save': '+11'}","{'scores': '10', 'mod': '+0', 'save': '+6'}","{'scores': '20', 'mod': '+5', 'save': '+11'}","{'scores': '17', 'mod': '+3', 'save': '+9'}","{'scores': '20', 'mod': '+5', 'save': '+5'}",,,钝击，穿刺，挥砍,暗蚀，毒素，心灵；魅惑，耳聋，力竭，恐慌，麻痹，石化，中毒，倒地，震慑,,真实视觉120尺；被动察觉13,无,18,+6,"[{'title': '特质Traits', 'content': '<p>\n<strong>传奇抗性Legendary Resistance（3/日，或巢穴内4/日）。</strong>半巫妖豁免失败时，可以将其改为豁免成功。<br/>\n<strong>亡者再生Undead Restoration。</strong>若半巫妖被摧毁，除非其遗骸被施展祈愿术Wish，其在1d10天后重获生命并恢复全部生命值，<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>半巫妖发动3次暗能爆裂攻击。<br/>\n<strong>暗能爆裂Necrotic Burst。</strong><em>近战或远程攻击检定：</em>+11，触及5尺或射程120尺。<em>命中：</em>24（7d6）暗蚀伤害。<br/>\n<strong>尖啸Howl（充能5~6）。</strong><em>体质豁免检定：</em>DC19，源自半巫妖的30尺<u>光环</u>区域内的每名生物。<em>失败：</em>70（20d6）心灵伤害。<em>失败或<em>成功：</em></em>目标陷入<u>恐慌</u>状态，直至半巫妖的下个回合开始。<br/>\n</p>'}, {'title': '传奇动作Legendary Actions', 'content': '<p>\n<font color=""#808080"">传奇动作次数：3（巢穴内4）。半巫妖可以在另一生物的回合后立即消耗一次传奇动作来执行以下一道动作。半巫妖在其回合开始时回复所有已消耗的传奇动作次数。</font><br/>\n<strong>能量汲取Energy Drain。</strong><em>体质豁免检定：</em>DC19，单一120尺内半巫妖可见的生物。<em>失败：</em>目标的生命值上限降低14（4d6）。<br/>\n<em>失败或<em>成功：</em></em>半巫妖直至其下个回合开始都无法再执行此动作。\n<strong>坟土飞扬Grave-Dust Flight。</strong>半巫妖飞行至多等于其飞行速度的距离，向周围播撒墓穴之尘。在半巫妖移动过程中，位于半巫妖5尺内的每名生物都会被选为一次以下效应的目标。<em>体质豁免检定：</em>DC19。<em>失败：</em>目标陷入<u>目盲</u>状态，直至半巫妖的下个回合结束。<em>失败或<em>成功：</em></em>半巫妖直至其下个回合开始都无法再执行此动作。<br/>\n<strong>腐坏Necrosis。</strong>半巫妖发动一次暗能爆裂攻击。\n</p>'}]"
尸妖,Wight,MM25_Prof2_CR3_wight,MM25,['中型'],False,,亡灵,,中立邪恶,14,82（11d8+33）,30尺,+4（14）,"{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '15', 'mod': '+2', 'save': '+2'}",察觉+3，隐匿+4,,暗蚀,毒素；力竭，中毒,,黑暗视觉60尺；被动察觉13,通用语以及一门其他语言,3,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>日照敏感Sunlight Sensitivity。</strong>若尸妖身处阳光下，其进行的属性检定和攻击检定具有劣势。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>尸妖使用死灵剑或死灵弓发动攻击两次攻击。其可以将其中一次攻击替换为使用吸取生命。<br/>\n<strong>死灵剑Necrotic Sword。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>6（1d8+2）挥砍伤害，外加4（1d8）暗蚀伤害。<br/>\n<strong>死灵弓Necrotic Bow。</strong><em>远程攻击检定：</em>+4，射程150/600尺。<em>命中：</em>6（1d8+2）穿刺伤害，外加4（1d8）暗蚀伤害。<br/>\n<strong>吸取生命Life Drain。</strong>体质豁免：DC13，单一5尺内生物。<br/>\n<em>失败：</em>6（1d8+2）暗蚀伤害，目标的生命值上限减少等于其受到伤害的数值。被此攻击杀死的类人生物会在24小时后再活化为受尸妖控制的<strong><u>丧尸Zombie</u></strong>\n，除非该生物被复活或其尸体被摧毁。尸妖以此法同时能控制的丧尸数上限为十二。\n</p>'}]"
巫妖,Lich,MM25_Prof7_CR21_lich,MM25,['中型'],False,,亡灵,法师,中立邪恶,20,315（42d8+126）,30尺,+17（27）,"{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '16', 'mod': '+3', 'save': '+10'}","{'scores': '16', 'mod': '+3', 'save': '+10'}","{'scores': '21', 'mod': '+5', 'save': '+12'}","{'scores': '14', 'mod': '+2', 'save': '+9'}","{'scores': '16', 'mod': '+3', 'save': '+3'}",奥秘+19，历史+12，洞悉+9，察觉+9,,寒冷，闪电,暗蚀，毒素；魅惑，力竭，恐慌，麻痹，中毒,,真实视觉120尺；被动察觉19,全部,21,+7,"[{'title': '特质Traits', 'content': '<p>\n<strong>传奇抗性Legendary Resistance（4/日，或巢穴内5/日）。</strong>巫妖豁免失败时，可以将其改为豁免成功。<br/>\n<strong>命匣Spirit Jar。</strong>只要保有命匣，被摧毁的巫妖就可以在1d10日内重新成型，以满生命值复活。新的躯体将出现在巫妖巢穴内的一处未占据空间。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>巫妖使用魔能迸裂或麻痹之触发动共计三次攻击。<br/>\n<strong>魔能迸裂Eldritch Burst。</strong><em>近战或远程攻击检定：</em>+12，触及5尺或射程120尺。<em>命中：</em>31（4d12+5）力场伤害。<br/>\n<strong>麻痹之触Paralyzing Touch。</strong><em>近战攻击检定：</em>+12，触及5尺。<em>命中：</em>15（3d6+5）寒冷伤害，且目标陷入<u>麻痹</u>状态直至巫妖的下个回合开始。<br/>\n<strong>施法Spellcasting。</strong>巫妖施展以下一道法术，使用智力作为施法属性（法术豁免DC20）：<br/>\n<strong><em>随意：</em></strong><u><i>  侦测魔法Detect Magic，侦测思想Detect Thoughts，解除魔法Dispel Magic，火球术Fireball</i></u>（五环版本），<u><i>    隐形术Invisibility，闪电束Lightning Bolt</i></u>（五环版本），<u><i>    法师之手Mage Hand，魔法伎俩Prestidigitation</i></u><br/>\n<strong><em>每项2/日：</em></strong><u><i>活化死尸Animate Dead，任意门Dimension Door，位面转移Plane Shift</i></u><br/>\n<strong><em>每项1/日：</em></strong><u><i>连锁闪电Chain Lightning，死亡一指Finger of Death，律令死亡Power Word Kill，探知术Scrying</i></u><br/>\n</p>'}, {'title': '反应Reactions', 'content': '<p>\n<strong>护身魔法Protective Magic。</strong>巫妖施展<u><em>法术反制Counterspell</em></u>或<u><em>护盾术Shield</em></u>（触发条件见这些法术），使用与施法动作相同的施法属性。\n</p>'}, {'title': '传奇动作Legendary Actions', 'content': '<p>\n<font color=""#808080"">传奇动作次数：3（巢穴内4）。巫妖可以在另一生物的回合后立即消耗一次传奇动作来执行以下一道动作。巫妖在其回合开始时回复所有已消耗的传奇动作次数。</font><br/>\n<strong>蚀命传送Deathly Teleport。</strong>巫妖传送至多60尺至一处其可见的未占据空间，位于其离开的空间10尺内的每名生物受到11（2d10）暗蚀伤害。<br/>\n<strong>扰乱生命Disrupt Life。</strong><em>体质豁免检定：</em>DC20，源自巫妖的20尺<u>光环</u>区域内的每名非亡灵生物。<em>失败：</em>31（9d6）暗蚀伤害。<em>成功：</em>半伤。<em>失败或成功：</em>巫妖直至其下个回合开始都无法再执行此动作。<br/>\n<strong>恐惧凝视Frightful Gaze。</strong>巫妖施展<u><em>恐惧术Fear</em></u>，使用与施法动作相同的施法属性。巫妖直至其下个回合开始都无法再执行此动作。\n</p>'}]"
幽影,Shadow,MM25_Prof2_CR1_2_shadow,MM25,['中型'],False,,亡灵,,混乱邪恶,12,27（5d8+5）,40尺,+2（12）,"{'scores': '6', 'mod': '-2', 'save': '-2'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '8', 'mod': '-1', 'save': '-1'}",隐匿+6,光耀,强酸，寒冷，火焰，闪电，雷鸣,暗蚀，毒素；力竭，恐慌，受擒，麻痹，石化，中毒，倒地，束缚，昏迷,,黑暗视觉60尺；被动察觉10,无,1/2,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>无定形Amorphous。</strong>幽影可以移动穿过最窄1寸宽的空间而无需消耗额外的移动力。<br/>\n<strong>日照弱点Sunlight Weakness。</strong>若幽影身处阳光下，其进行的<u>D20检定</u>具有劣势。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>汲命击Draining Swipe。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>5（1d6+2）暗蚀伤害。且目标的力量值降低1d4。若目标的力量值以此法降至0，则其立即死亡。若一名类人生物死于该攻击，则一只幽影在1d4小时后从其尸体上唤起。\n</p>'}, {'title': '附赠动作Bonus Actions', 'content': '<p>\n<strong>幽影隐匿Shadow Stealth。</strong>若幽影身处<u>微光光照</u>或<u>黑暗</u>，其执行<u>躲藏</u>动作。\n</p>'}]"
幽魂,Ghost,MM25_Prof2_CR4_ghost,MM25,['中型'],False,,亡灵,,中立,11,45（10d8）,5尺，飞行40尺（悬浮）,+1（11）,"{'scores': '7', 'mod': '-2', 'save': '-2'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '17', 'mod': '+3', 'save': '+3'}",,,强酸，钝击，寒冷，火焰，闪电，穿刺，挥砍，雷鸣,暗蚀，毒素；魅惑，力竭，恐慌，受擒，麻痹，石化，中毒，倒地，束缚,,黑暗视觉60尺；被动察觉11,通用语，以及一门其他语言,4,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>以太视界Ethereal Sight。</strong>若幽魂身处物质位面，其能够看见60尺内的以太位面。<br/>\n<strong>虚体移动Incorporeal Movement。</strong>幽魂可以移动穿过其他生物或物件，如同穿过困难地形一般。在其回合结束时，若幽魂还处于物件内，其受到5（1d10）力场伤害<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>幽魂发动两次凋零之触攻击。<br/>\n<strong>凋零之触Withering Touch。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>19（3d10+3）暗蚀伤害。<br/>\n<strong>以太化Etherealness。</strong>幽魂施展法术以太化Etheralness，无需法术成分，并使用魅力作为施法属性。当幽魂处于边界以太时，仍可以在物质位面被观测到，反之亦然。但另一位面的任何事物不能对其施加影响或被其影响。<br/>\n<strong>恐惧面容Horrifying Visage。</strong>魅力豁免：DC13，60尺<u>锥状</u>区域内能看见幽魂的每名非亡灵生物。<em>失败：</em>10（2d6+3）心灵伤害，目标陷入<u>恐慌</u>状态，直至幽魂的下个回合的开始。<em>成功：</em>目标在24小时内免疫此幽魂的恐惧面容。<br/>\n<strong>附身Possession（充能6）。</strong>魅力豁免：DC13，单一5尺内幽魂可见的类人生物。\n<em>失败：</em>目标被幽魂附身。幽魂消失，目标陷入<u>失能</u> \n状态并失去对身体的控制。现在由幽魂控制身体，但目标仍然保留自我意识。幽魂不能成为任意攻击、法术或其他效应的目标，针对亡灵的效应除外。幽魂仍然保留自己的游戏数据，但是使用附身目标的速度，以及力量、敏捷与体质调整值。<br/>附身持续至身体的生命值降至0，或在幽魂以附赠动作解除附身时结束。附身结束时，幽魂会出现在目标5尺内一处未占据空间，且目标在24小时内免疫此幽魂的附身。<br/>\n<em>成功：</em>目标在接下来24小时内免疫幽魂的附身。\n</p>'}]"
恶灵,Specter,MM25_Prof2_CR1_specter,MM25,['中型'],False,,亡灵,,混乱邪恶,12,22（5d8）,30尺，飞行50尺（悬浮）,+2（12）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '11', 'mod': '+0', 'save': '+0'}",,,强酸，钝击，寒冷，火焰，闪电，穿刺，挥砍，雷鸣,暗蚀，毒素；魅惑，力竭，受擒，麻痹，石化，中毒，倒地，束缚，昏迷,,黑暗视觉60尺；被动察觉10,理解通用语以及一门其他语言，但不会说,1,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>虚体移动Incorporeal Movement。</strong>恶灵可以移动穿过其他生物或物件，如同穿过困难地形一般。在其回合结束时，若恶灵还处于物件内，其受到5（1d10）力场伤害<br/>\n<strong>日照敏感Sunlight Sensitivity。</strong>若恶灵身处阳光下，其进行的属性检定和攻击检定具有劣势。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>吸取生命Life Drain。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>7（2d6）暗蚀伤害。若目标为生物，目标的生命值上限减少等于其受到伤害的数值。\n</p>'}]"
报丧妖,Banshee,MM25_Prof2_CR4_banshee,MM25,['中型'],False,,亡灵,,混乱邪恶,12,54（12d8）,5尺，飞行40尺（悬浮）,+2（12）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '11', 'mod': '+0', 'save': '+2'}","{'scores': '17', 'mod': '+3', 'save': '+3'}",,,强酸，钝击，火焰，闪电，穿刺，挥砍，雷鸣,寒冷，暗蚀，毒素；魅惑，力竭，恐慌，受擒，麻痹，石化，中毒，倒地，束缚,,黑暗视觉60尺；被动察觉10,通用语，精灵语,4,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>侦测生命Detect Life。</strong>报丧妖可以魔法性地感知到其1里之内非亡灵非构装生物的位置。<br/>\n<strong>虚体移动Incorporeal Movement。</strong>报丧妖可以移动穿过其他生物或物件，如同穿过困难地形一般。在其回合结束时，若报丧妖还处于物件内，其受到5（1d10）力场伤害<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>报丧妖发动两次腐化触击攻击。<br/>\n<strong>腐化触击Corrupting Touch。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>7（1d8+3）暗蚀伤害。<br/>\n<strong>恐惧Horrifying。</strong><em>感知豁免检定：</em>DC13，单一60尺内报丧妖可见且能看见其的生物。<em>失败：</em>目标陷入<u>恐慌</u>状态，直至报丧妖的下个回合开始。<em>成功：</em>目标在24小时内免疫此报丧妖的恐惧。<br/>\n<strong>死亡哀嚎Deathly Wail（1/日）。</strong>若报丧妖未身处阳光下，其发出一阵悲恸的哀嚎。<em>体质豁免检定：</em>DC13，30尺内能听到哀嚎的非亡灵且非构装的每名生物。<em>失败：</em>若目标的生命值为25或更低，其生命值降至0；否则，目标受到10（3d6）心灵伤害。\n</p>'}]"
燃焰之颅,Flameskull,MM25_Prof2_CR4_flameskull,MM25,['微型'],False,,亡灵,,中立邪恶,13,40（9d4+18）,5尺，飞行40尺（悬浮）,+3（13）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '17', 'mod': '+3', 'save': '+3'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '11', 'mod': '+0', 'save': '+0'}",奥秘+5，察觉+2,,,火焰，暗蚀，毒素；魅惑，力竭，恐慌，麻痹，中毒，倒地,,黑暗视觉60尺；被动察觉12,通用语以及两门其他语言,4,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>照明Illumination。</strong>燃焰之颅散发出半径15尺<u>明亮光照</u>以及额外15尺的<u>微光光照</u>。<br/>\n<strong>魔法抗性Magic Resistance。</strong>燃焰之颅对抗法术和其他魔法效应时进行的豁免检定具有优势。<br/>\n<strong>不死再造Undead Restoration。</strong>若燃焰之颅被摧毁，其在1小时后恢复所有生命值，除非对其残骸泼洒圣水或施展<u><em>驱逐善恶Dispel Evil \nand Good</em></u>。<u><em> <br/></em></u>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>燃焰之颅发动两次火焰射线攻击。<br/>\n<strong>火焰射线Fire Ray。</strong><em>近战或远程攻击检定：</em>+5，触及5尺，或射程60尺。<em>命中：</em>13（3d6+3）火焰伤害。<br/>\n<strong>施法Spellcasting。</strong>燃焰之颅施展以下一道法术，无需姿势或材料成分并使用智力作为施法属性（法术豁免DC13）：<br/>\n<strong><em>随意：</em></strong><u><i>法师之手Mage Hand</i></u><br/>\n<strong><em>每项2/日：</em></strong><u><i>魔法飞弹Magic Missile</i></u>（二环版本）<br/>\n<strong><em>每项1/日：</em></strong><u><i>火球术Fireball</i></u>\n</p>'}]"
邪灵,Wraith,MM25_Prof3_CR5_wraith,MM25,"['小型', '中型']",False,,亡灵,,混乱邪恶,13,67（9d8+27）,5尺，飞行60尺（悬浮）,+3（13）,"{'scores': '6', 'mod': '-2', 'save': '-2'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '15', 'mod': '+2', 'save': '+2'}",,,强酸，钝击，寒冷，火焰，穿刺，挥砍,暗蚀，毒素；魅惑，力竭，受擒，麻痹，石化，中毒，倒地，束缚，昏迷,,黑暗视觉60尺；被动察觉12,通用语以及两门其他语言,5,+3,"[{'title': '特质Traits', 'content': '<p>\n<strong>虚体移动Incorporeal Movement。</strong>邪灵可以移动穿过其他生物或物件，如同穿过<u>困难地形</u>一般。在其回合结束时，若邪灵还处于物件内，其受到5（1d10）力场伤害<br/>\n<strong>日照敏感Sunlight Sensitivity。</strong>若邪灵身处阳光下，其进行的属性检定和攻击检定具有劣势。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>吸取生命Life Drain。</strong><em>近战攻击检定：</em>+6，触及5尺。<em>命中：</em>21（4d8+3）暗蚀伤害。若目标为生物，其生命值上限减少等于其受到伤害的数值。<br/>\n<strong>生成恶灵Create Specter。</strong>邪灵指定10尺内一具死亡不超过1分钟的类人生物尸体为目标。目标的灵体将被复生为一个<strong><u>恶灵Specter</u></strong>出现在尸体所处的空间或最近的一处未占据空间。恶灵受邪灵的控制，邪灵以此发同时能控制的恶灵数上限为七。\n</p>'}]"
食尸水鬼,Lacedon Ghoul,MM25_Prof2_CR1_lacedon_ghoul,MM25,['中型'],False,,亡灵,,混乱邪恶,12,22（5d8）,30尺，游泳30尺,+2（12）,"{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '7', 'mod': '-2', 'save': '-2'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",,,寒冷,毒素；魅惑，力竭，中毒,,黑暗视觉60尺；被动察觉10,通用语,1,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>食尸鬼发动两次阴寒啃咬攻击。<br/>\n<strong>阴寒啃咬Icy Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<br/>\n<em>命中：</em>9（2d6+2）寒冷伤害，且目标的速度降低5尺，直至食尸鬼的下个回合开始。<br/>\n<strong>爪击Claw。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>4（1d4+2）挥砍伤害。如果目标为非亡灵生物或非精灵，其承受下述效应。<em>体质豁免检定：</em>DC10。<em>失败：</em>目标陷入<u>麻痹</u>状态，直至其下个回合的结束。\n</p>'}, {'title': '附赠动作Bonus Actions', 'content': '<p>\n<strong>蹿腾水中Watery Rush。</strong>若身处水下，食尸鬼移动至多等于其游泳速度一半的距离，且不会引发<u>借机攻击</u>。\n</p>'}]"
